Code,Name,Purchase Price,Tax,Retail Price,Category Code
1513,CARAMBOLA  ( BANDEJA ),,0,08.00,G01
1514,CASCA DE LARANJA MISTA   ( BANDEJA ),,0,08.00,G01
1556,CASTANHA COM PIMENTA  ( 01  KG. ),,0,60.00,G01
1557,CASTANHA COM PIMENTA  ( 500 GRS. ),,0,31.00,G01
1558,CASTANHA COM PIMENTA  ( POTE  ),,0,07.00,G01
1559,CASTANHA DO PARÁ  (  01  KG.  ),,0,100.00,G01
1561,CASTANHA DO PARÁ  (  POTE  ),,0,10.00,G01
1560,CASTANHA DO PARÁ  ( 500  GRS.  ),,0,50.00,G01
1563,CASTANHA DOCE  ( 01 KG.  ),,0,60.00,G01
1564,CASTANHA DOCE  ( 500 GRS. ),,0,31.00,G01
1562,CASTANHA DOCE ( POTE  ),,0,07.00,G01
1565,CASTANHA NATURAL  ( 01 KG. ),,0,60.00,G01
1567,CASTANHA NATURAL  ( POTE  ),,0,07.00,G01
1566,CASTANHA NATURAL DE  ( 500 GRS. ),,0,31.00,G01
1807,CASTANHA NATURAL SACO DE 15 KG.,,0,00.00,G01
1568,CASTANHA SALGADA  (   01 KG.  ),,0,60.00,G01
1569,CASTANHA SALGADA  ( 500 GRS. ),,0,31.00,G01
1570,CASTANHA SALGADA  ( POTE  ),,0,07.00,G01
1808,CASTANHA SALGADA SACO 15 KG.,,0,00.00,G01
1788,CASTANHA SELECIONADA TIPO EXPORTAÇÃO 500 GRS.,,0,35.00,G01
1783,CASTANHA TORRADA  SEM SAL  ( 500  GRS. ),,0,31.00,G01
1822,CASTANHA TORRADA  SEM SAL  POTE,,0,07.00,G01
1782,CASTANHA TORRADA SEM SAL  ( 01 kG. ),,0,60.00,G01
1778,CIDRA CRISTALIZADA,,0,08.00,G01
1515,COCADA MOLE  ( BANDEJA ),,0,08.00,G01
1705,COCADA MOLE ( POTE ),,0,09.00,G01
1516,COCADA MUDINHA   BANDEJA ),,0,08.00,G01
1517,COCADA RECHEADA  ( BANDEJA ),,0,08.00,G01
1593,COMPOTA DE ABACAXI   ( DOM PEDRITO  ),,0,18.00,G01
1594,COMPOTA DE ABOBORA ( DOM PEDRITO ),,0,18.00,G01
1595,COMPOTA DE AMBROSIA ( DOM PEDRITO ),,0,18.00,G01
1596,COMPOTA DE BANANA  ( DOM PEDRITO ),,0,18.00,G01
1597,COMPOTA DE CAJU  ( DOM PEDRITO  ),,0,18.00,G01
1598,COMPOTA DE CARAMBOLA  ( DOM PEDRITO ),,0,18.00,G01
1599,COMPOTA DE FIGO  ( DOM PEDRITO ),,0,18.00,G01
1600,COMPOTA DE GOIABA  ( DOM PEDRITO ),,0,18.00,G01
1601,COMPOTA DE JACA  ( DOM PEDRITO ),,0,18.00,G01
1602,COMPOTA DE LARANJA  ( DOM PEDRITO  ),,0,18.00,G01
1603,COMPOTA DE MAÇA  ( DOM PEDRITO ),,0,18.00,G01
1604,COMPOTA DE MAMÃO  ( DOM PEDRITO),,0,18.00,G01
1605,COMPOTA DE MANGA  ( DOM PEDRITO ),,0,18.00,G01
1606,COMPOTA DE MARACUJA  ( DOM PEDRITO ),,0,18.00,G01
1607,COMPOTA DE PESSEGO  ( DOM PEDRITO ),,0,18.00,G01
1608,COMPOTA DE QUEIJO  ( DOM PEDRITO  ),,0,18.00,G01
1609,COMPOTA DE UMBU  ( DOM PEDRITO  ),,0,18.00,G01
1800,COMPOTA DE UMBU  ( GRAVETEIRO ),,0,20.00,G01
1636,COMPOTA DE UMBU CAJA,,0,20.00,G01
1749,CONFETE ( TUBINHO ),,0,03.00,G01
1518,COQUINHO CARAMELADO  ( BANDEJA ),,0,08.00,G01
1722,CUPUAÇU,,0,09.00,G01
1736,CUPUAÇU  ( BALA ),,0,05.00,G01
1550,DISCO DE QUEIJO,,0,10.00,G01
1815,DOCE DE CAJU C/ CASTANHA CREMOSO  ( S. VIVENDA ),,0,20.00,G01
1814,DOCE DE CAJU CREMOSO  ( S. VIVENDA ),,0,20.00,G01
1762,DOCE DE LEITE  DIET  ( INTENSO IMPULSO ),,0,17.00,G01
1614,DOCE DE LEITE  PURO  ( BARRA ),,0,10.00,G01
1628,DOCE DE LEITE  PURO ( PARREIRA ),,0,16.00,G01
1615,DOCE DE LEITE C/ AMEIXA  ( BARRA ),,0,10.00,G01
1811,DOCE DE LEITE C/ AMEIXA ( R MINAS ),,0,16.00,G01
1629,DOCE DE LEITE C/ AMEIXA CREMOSO  ( PARREIRA ),,0,16.00,G01
1793,DOCE DE LEITE C/ AMEIXA CREMOSO ( R. MINAS ),,0,16.00,G01
1810,DOCE DE LEITE C/ CHOCOLATE ( R MINAS ),,0,16.00,G01
1792,DOCE DE LEITE C/ CHOCOLATE CREMOSO,,0,16.00,G01
1617,DOCE DE LEITE C/ COCO  ( BARRA ),,0,10.00,G01
1631,DOCE DE LEITE C/ GOIABA CREMOSO ( R. MINAS ),,0,16.00,G01
1632,DOCE DE LEITE C/ MARACUJA CREMOSO  ( PARREIRA ),,0,16.00,G01
1633,DOCE DE LEITE C/ MORANGO CREMOSO  ( R. MINAS ),,0,16.00,G01
1765,DOCE DE LEITE C/AMEIXA DIET ( INTENSO IMPULSO ),,0,17.00,G01
1763,DOCE DE LEITE C/CASTANHA DIET ( DOCE DA MONTANHA ),,0,17.00,G01
